Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
UserController,POST,/api/v1/users,Create a new user,@RequestBody UserCreateDto,"createUser(UserCreateDto userCreateDto)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""email"": ""john@example.com"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""role"": ""USER"", ""isActive"": true, ""emailVerified"": false, ""createdAt"": ""2024-01-15T10:30:00"", ""updatedAt"": ""2024-01-15T10:30:00""}"
UserController,PUT,/api/v1/users/{userId},Update an existing user,@PathVariable Long userId / @RequestBody UserUpdateDto,"updateUser(Long userId, UserUpdateDto userUpdateDto)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe_updated"", ""email"": ""john@example.com"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""role"": ""USER"", ""isActive"": true, ""emailVerified"": true, ""createdAt"": ""2024-01-15T10:30:00"", ""updatedAt"": ""2024-01-20T14:25:00""}"
UserController,GET,/api/v1/users/{userId},Get user by ID,@PathVariable Long userId,"getUserById(Long userId)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""email"": ""john@example.com"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""role"": ""USER"", ""isActive"": true, ""emailVerified"": true, ""profileImageUrl"": ""https://example.com/profile.jpg"", ""createdAt"": ""2024-01-15T10:30:00""}"
UserController,GET,/api/v1/users/email/{email},Get user by email address,@PathVariable String email,"getUserByEmail(String email)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""email"": ""john@example.com"", ""firstName"": ""John"", ""lastName"": ""Doe"", ""role"": ""USER"", ""isActive"": true, ""emailVerified"": true}"
UserController,GET,/api/v1/users,Get all users with pagination,Pageable (page size page sort),"getAllUsers(Pageable pageable)","ResponseEntity<Page<UserResponseDto>>","{""content"": [{""id"": 1, ""username"": ""john_doe"", ""email"": ""john@example.com""}, {""id"": 2, ""username"": ""jane_doe"", ""email"": ""jane@example.com""}], ""pageable"": {""pageNumber"": 0, ""pageSize"": 10}, ""totalElements"": 50, ""totalPages"": 5}"
UserController,GET,/api/v1/users/role/{role},Get users by role with pagination,@PathVariable UserRole role / Pageable,"getUsersByRole(UserRole role, Pageable pageable)","ResponseEntity<Page<UserResponseDto>>","{""content"": [{""id"": 1, ""username"": ""photographer1"", ""role"": ""PHOTOGRAPHER""}], ""totalElements"": 15, ""totalPages"": 2}"
UserController,GET,/api/v1/users/search,Search users by term,@RequestParam String term / Pageable,"searchUsers(String term, Pageable pageable)","ResponseEntity<Page<UserResponseDto>>","{""content"": [{""id"": 1, ""username"": ""john_doe"", ""email"": ""john@example.com""}], ""totalElements"": 3, ""totalPages"": 1}"
UserController,DELETE,/api/v1/users/{userId},Soft delete user (mark as deleted),@PathVariable Long userId,"deleteUser(Long userId)",ResponseEntity<Void>,"{""status"": ""204 No Content""}"
UserController,DELETE,/api/v1/users/{userId}/hard,Permanently delete user from database,@PathVariable Long userId,"permanentlyDeleteUser(Long userId)",ResponseEntity<Void>,"{""status"": ""204 No Content""}"
UserController,PUT,/api/v1/users/{userId}/activate,Activate a user account,@PathVariable Long userId,"activateUser(Long userId)","ResponseEntity<UserResponseDto>","{""id"": 1, ""username"": ""john_doe"", ""isActive"": true, ""updatedAt"": ""2024-01-20T15:00:00""}"
